11855
162370	394576
155350	396032
163540	393120
155480	393120
142870	396032
150540	394576
144170	384384
143910	381472
149500	397488
149110	387296
155480	391664
141960	387296
144170	388752
153270	374192
146250	368368
139360	366912
161330	371280
153270	377104
159510	385840
162630	368368
145600	371280
160420	380016
140530	380016
139750	369824
160290	382928
153270	381472
144820	378560
160030	375648
164580	397488
164190	401856
163670	391664
156780	400400
144950	398944
150280	401856
147420	391664
145210	393120
152620	371280
152620	369824
140010	372736
164320	369824
156650	372736
160680	387296
166270	377104
146120	374192
161590	378560
139360	377104
139490	374192
155480	388752
152360	385840
146770	375648
164060	372736
148720	382928
148200	380016
151580	398944
147030	400400
156000	397488
203060	413504
202280	407680
214370	400400
213850	398944
228800	397488
228670	401856
231920	393120
236210	390208
231270	391664
236210	394576
236210	387296
229710	394576
231140	396032
235170	388752
230360	385840
227890	398944
220090	401856
198900	404768
198120	406224
214240	404768
213980	409136
203320	387296
208000	397488
207220	396032
226200	384384
226460	382928
226070	381472
219570	381472
206310	382928
214760	382928
214110	384384
214240	391664
213720	396032
215540	403312
178620	403312
179920	401856
200070	393120
199290	394576
188500	353808
182000	353808
180310	361088
186810	361088
189280	355264
182650	355264
180440	356720
189540	356720
192920	362544
193310	361088
193050	365456
193310	364000
196170	378560
182520	400400
182390	397488
197470	396032
197340	398944
167050	362544
167310	361088
169910	356720
173550	362544
173810	361088
178490	365456
170690	368368
170820	369824
178490	369824
178230	368368
169000	371280
170040	374192
196300	377104
185770	403312
183430	404768
204620	406224
203840	403312
184340	384384
181220	375648
182910	378560
180830	377104
175240	378560
173420	377104
173940	375648
180440	387296
174460	380016
175240	391664
174460	390208
177190	384384
204230	398944
174720	407680
174460	409136
210340	407680
209560	413504
180570	419328
187070	417872
193570	417872
192010	414960
180960	414960
179790	406224
180570	417872
182520	407680
187720	419328
187590	409136
193180	413504
195260	409136
207480	409136
187980	401856
187590	398944
216840	407680
220480	409136
221130	377104
214630	377104
221780	371280
213980	368368
221520	368368
220350	375648
215020	365456
220870	366912
220220	378560
208130	377104
209040	372736
208520	381472
200980	381472
174200	400400
174200	394576
221520	404768
221000	406224
206960	368368
208520	365456
209040	356720
207480	361088
205530	355264
202540	356720
199810	361088
196040	356720
204230	366912
196690	368368
197340	366912
199550	365456
196170	388752
257660	323232
270920	337792
270920	334880
270270	330512
269880	327600
253630	347984
260520	381472
246610	381472
262730	384384
254540	382928
240760	382928
240760	377104
248820	346528
253760	329056
269230	318864
268970	324688
273000	304304
270530	310128
261300	350896
277550	366912
277810	371280
270920	366912
271700	369824
238420	375648
244530	350896
249470	339248
252070	333424
271310	342160
270530	339248
272090	349440
272090	331968
254540	350896
260130	372736
247000	378560
266110	365456
253500	381472
238030	374192
241020	353808
245700	345072
254930	331968
270530	315952
270530	308672
275600	311584
275080	314496
265590	349440
279760	378560
279500	374192
275210	380016
279370	375648
243750	384384
241670	356720
246870	343616
250510	330512
279630	346528
276120	350896
276900	347984
279110	331968
254800	353808
259480	362544
245830	374192
257400	361088
250120	361088
242580	371280
245570	364000
249340	352352
251550	324688
284570	313040
283660	311584
277420	308672
281970	329056
268320	350896
280930	356720
285740	355264
277550	352352
279110	353808
242710	369824
249730	356720
251030	340704
250770	327600
278720	336336
283270	330512
278070	337792
282230	323232
259090	356720
256100	371280
249470	371280
264290	355264
254410	369824
245570	375648
247520	353808
246610	349440
251160	323232
278720	315952
282230	317408
277550	310128
284440	310128
257790	336336
278980	355264
271310	355264
266370	356720
271570	353808
246870	362544
248950	355264
250510	337792
238160	327600
283010	350896
283270	349440
283270	345072
285350	333424
255970	339248
265330	374192
250640	377104
265200	361088
254540	378560
231010	366912
233350	361088
238290	343616
244400	324688
289770	321776
285610	327600
287040	314496
287300	315952
264290	336336
286650	361088
286130	365456
286390	362544
286390	368368
235820	372736
234390	356720
242580	342160
238290	326144
